kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
1;2;;;Rp 400.000.000;Jalan Banjaran Pucung Depok 16466 Indonesia Cilangkap Depok;Rumah 400 jutaan 2 lantai akses Tol cimanggis dan citeureup;;;;
3;4;;;Rp 1.200.000.000;Perumahan Graha Nirwana - Blok D6 (Dekat Puri Gading) Jatiasih Bekasi;Dijual Rumah Nyaman Bebas Banjir Harga bisa Nego - Turun Harga;;;;
1;2;;;Rp 230.000.000;Ciampea Bogor Kabupaten JABODETABEK Indonesia Bogor;Perumahan baru ciampea bogor; angsuran 3 jt'an );;;
1;2;;;Rp 260.000.000;Jalan Raya Mojowuku Gresik 61175 Indonesia Kedamean Gresik;Rumah Mewah angs 600 rban saja & Free semua biaya2;;;;
2;3;;;Rp 950.000.000;Graha Studio Alam Blok A1 No.1 Jatimulya Cilodong Depok Sukmajaya Depok;RUMAH DIJUAL GRAHA STUDIO ALAM DEPOK;;;;
1;2;;;Rp 1.037.250.000;JALAN SHARON RAYA UTARA 25CIPAMOKOLAN Rancasari Bandung;Rumah Cahaya Tipe Anantya Siap Huni;;;;
4;4;;;Rp 1.700.000.000;Jl. Kunir No.26 Pd. Cabe Udik Kec. Pamulang Kota Tangerang Selatan Banten 15418 Pondok Cabe Tangerang Selatan;Rumah Cluster Baru 1;;;;
2;3;;;Rp 1.310.000.000;Cluster Swadaya Asri 3 Pondok Ranji Tangerang;Rumah Dijual Siap Huni Asri Lokasi Strategis di Pondok Aren;;;;
11;11;;;Rp 17.000.000.000;Ubud Gianyar;Villa Ubud Bali (Taman Suites Ubud);;;;
3;3;;;Rp 950.000.000;Jalan Boulevard Gajah Mada Tangerang Kota 15139 Indonesia Karawaci Tangerang;Cendana Gard Vista rumah mewah di kawasan lippo karawaci; halaman luas cocok untuk hunian atau usaha;;;
2;3;;;Rp 760.526.992;Jl Gandasoli Cikambuy Katapang Bandung;Rumah Scandinavia di Katapang dekat 2 Tol Soroja dan Katapang Mantul;;;;
3;4;;;Rp 1.800.000.000;Ciracas Jakarta Timur;DICARI PEMBELI RUMAH 2 LANTAI DI PERMATA PURI LAGUNA JALAN RADAR AURI;;;;
3;3;;;Rp 2.700.000.000;Komplek Hotel Amartahills. Jalan Abdul Ghani Atas. Batu Batu;The Villa Amartahills di kota batu;;;;
2;3;;;Rp 795.000.000;mampang Kec. Pancoran Mas Pancoran Mas Depok;Rumah Dijual D'Mirai Alam Serasi Pancoran Mas Depok Free AC;;;;
2;3;;;Rp 750.000.000;Jalan Benda Raya Tangerang Selatan 15434 Indonesia Pamulang Tangerang Selatan;Rumah Minimalis 2 Lantai;;;;
1;2;;;Rp 589.000.000;Serpong Tangerang Selatan;Paradise Serpong city 2; Cicilan 2 Jutaan dan Free Biaya;;;
2;3;;;Rp 740.000.000;Kemang Cimanggis Depok;Rumah 2 LT Siap Huni 5 Menit Tol Cibubur;;;;
1;2;;;Rp 979.056.000;Soekarno Hatta Bandung;RUMAH MODERN MINIMALIS KOTA BANDUNG;;;;
4;5;;;Rp 3.200.000.000;Jagakarsa Jakarta Selatan;Di Jual Cepat Rumah Baru Murah Lokasi Strategis di Jakarta Selatan;;;;
2;3;;;Rp 1.315.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;TIPE TERBARU CITRALAND TALLASA CITY MAKASSAR TYPE WINETTA;;;;
1;2;;;Rp 600.000.000;Botania Road No.1 Belian Batam Kota Batam;GLORY HILL BATAM - Cicilan DP Rumah 2 Lantai Hanya 2.8jt/bulan;;;;
1;2;;;Rp 350.000.000;Jalan Haji Kimah Depok 16434 Indonesia Pancoran Mas Depok;Dijual Rumah Hijau Asri Dekat Tol Depok Di Jual Murah;;;;
2;3;;;Rp 590.000.000;Cinangka Sawangan Depok;Rumah 2 LT 5Menit Mall ThePark Sawangan 10Menit Tol Pamulang FreeBiaya;;;;
3;3;;;Rp 1.300.000.000;The flower residence Jln Kramat No A3 Sukatani tapos Depok Tapos Depok;DIJUAL CEPAT BU RUMAH The flower residence NEGO SAMPAI DEAL;;;;
1;2;;;Rp 768.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;CITRALAND TALLASA CITY MAKASSAR TYPE GARNET A 72/36 M2 Angsuran 2;;;;
1;2;;;Rp 217.222.223;Perumahan GRAND TAMANSARI -The New Kaliwungu- Jl. Raya Kaliwungu - Boja Kec. Kaliwungu Selatan Kab. Kendal wa⁰⁸⁵⁻⁶⁵¹⁻⁰⁰⁻⁵⁵⁵⁷ Brangsong Kendal;HUNIAN FASILITAS LENGKAP TERHEBAT DI KENDAL;;;;
1;2;;;Rp 550.000.000;Bojongsari Depok;Village Serua Bojongsari Rumah Murah Dekat Mall The Park Sawangan;;;;
3;3;;;Rp 1.809.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;READY STOCK CITRALAND TALLASA CITY MAKASSAR SIAP HUNI;;;;
3;4;;;Rp 2.398.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;CITRALAND TALLASA CITY MAKASSAR TYPE JASMINE 162/135 M2 PROGRES BANGUN 4 UNIT;;;;
1;2;;;Rp 350.000.000;JL Kemang pasir putih Depok;Rmh keluarga;;;;
2;3;;;Rp 1.425.000.000;Ciputat Tangerang Selatan;Rumah dijual ciputat grand bintaro asri siap huni biaya kpr all in; Nyaman di Citraland Cirebon;;;
1;2;;;Rp 610.000.000;Kemang Raden Saleh Sukmajaya Depok;Rumah Baru Siap Huni Dekat Grand Depok City Promo DP 0 Gratis Biaya;;;;
3;3;;;Rp 4.200.000.000;Ciputat Tangerang Selatan;Rumah Strategis Siap KPR Dekat Stasiun Sudimara Harga All In Nego;;;;
2;3;;;Rp 849.000.000;Jalan. H. Dehir RT.002/RW.002 Jatiasih Bekasi;Rumah Dijual 2 Lantai Townhouse Panorama Jatiasih Bekasi Bonus AC;;;;
1;2;;;Rp 810.000.000;Cileungsi Bogor;Rumah Minimalis Asri di Metland Cileungsi Siap KPR Harga All In Bisa Nego;;;;
3;4;;;Rp 1.911.700.000;Semarang Barat Semarang;Rumah pusat kota semarang potala paramount village;;;;
4;5;;;Rp 2.700.000.000;Rawamangun Jakarta Timur;Rumah Baru SHM plus Swimming Pool Rawamangun Jakarta Timur;;;;
1;2;;;Rp 475.000.000;Jalan Desa Citayam Bogor Kabupaten 16935 Indonesia Tajur Halang Bogor;Dijual Rumah Bisa KPR DP 0% Nempel Jalan Jalur Angkot dekat St Citayam;;;;
2;2;;;Rp 950.000.000;Lagoon Serpong Cluster Flamingo Setu Tangerang Selatan;Rumah Siap Huni Lagoon Serpong Cluster Flamingo;;;;
4;6;;;Rp 8.000.000.000;Jalan Pondok Indah Jakarta Selatan 12320 Indonesia Pondok Indah Jakarta Selatan;Dijual Rumah Pondok Indah Rapih Harga Murah Memiliki Taman Belakang;;;;
1;2;;;Rp 650.000.000;Jalan Raya Cipayung Depok 16444 Indonesia Cipayung Depok;Dijual Rumah dekat stasiun Citayam lokasi strategis; Kemayoran; Jakarta Pusat;;
3;4;;;Rp 1.911.700.000;Ngemplaksimongan Kel. Semarang Barat Semarang Kota Indonesia Semarang Barat Semarang;rumah di semarang barat POTALA paramount village semarang;;;;
1;2;;;Rp 475.000.000;Jalan Raya Desa Citayam Depok 16527 Indonesia Citayam Depok;LARIS BANGET RUMAH BARU DP 0%;;;;
2;3;;;Rp 638.500.000;Jl. Raya Cibunar Cibunar Kec. Parung Panjang Kabupaten Bogor Jawa Barat 16360 Parung Panjang Bogor;Green Paradise City Cluster Tulip 2 Lantai DP 0% dan Bebas Biaya KPR;;;;
3;4;;;Rp 2.288.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;CITRALAND TALLASA CITY MAKASSAR TYPE UMBRIA 148/135 M2 View Taman Cluster;;;;
3;3;;;Rp 1.970.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;TIPE TERBARU CITRALAND TALLASA CITY MAKASSAR TYPE VITTORIO;;;;
1;2;;;Rp 275.000.000;Jl. H. Sulaiman kel.bedahan sawangan Depok Bedahan Depok;Claster citra indah bedahan Deket pintu tol sawangan;;;;
2;3;;;Rp 2.097.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;RUMAH CANTIK 1 LANTAI SIAP HUNI CITRALAND TALLASA CITY MAKASSAR;;;;
3;3;;;Rp 1.676.000.000;Tamalanrea Makassar;CITRALAND TALLASA CITY MAKASSAR TYPE SICILY 107/105 M2;;;;
2;4;;;Rp 1.400.000.000;Jalan Anggur Grand Bale Agung Pemalang 52319 Indonesia Pemalang;Rumah di pinggir jalan utama;;;;
1;2;;;Rp 724.100.000;Jl. Raya Gadobangkong Komp. The Awani Residence Ds. Cimareme Padalarang Bandung;Rumah Minimalis Lokasi Super Strategis;;;;
3;3;;;Rp 1.580.000.000;Pamulang Barat Pamulang Tangerang Selatan Pamulang Tangerang Selatan;Jual Nego Rumah Strategis Siap KPR di The Millenials Residence Harga All In;;;;
1;2;;;Rp 162.000.000;jalan raya pilar km.9 desa karang sentosa kecamatan karangbahagiabekasi Karangbahagia Bekasi;oper kredit 25jt di shamandra;;;;
2;3;;;Rp 1.080.000.000;Jalan Pondok Cabe Indah Cinere Depok;Jual Cepat Rumah Luas Bebas Banjir Dekat Cinere Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 770.000.000;Jatiasih Bekasi;Smarthome Mewah DP 15 juta all in di Jatiasih;;;;
2;5;;;Rp 1.140.000.000;Pinang Tangerang;Rumah Siap KPR di Pinang Kota Tangerang Harga All In Nego;;;;
4;4;;;Rp 8.500.000.000;Cluster cajuputi - de park - bsd Bumi Serpong Damai Tangerang Selatan;jual rumah type 15m;;;;
1;2;;;Rp 530.000.000;Perumahan Cendana Green Village Pamulang Tangerang Selatan;Dijual Rumah Strategis Dekat Pamulang Harga All In Nego DP Ringan Siap KPR;;;;
1;2;;;Rp 190.000.000;Jl Banyulegi 1 Ketawang Gondanglegi Gondanglegi Malang;Rumah ready unit angsuran 1jt an;;;;
2;2;;;Rp 762.200.000;Matraman Jakarta Timur;Hunian modern minimalis - Cluster Daun - Pisangan Baru Utara;;;;
1;1;;;Rp 1.800.000.000;SENTUL CITY CLASTER ARGENIA JL. CASABLANCA NO. 8 SENTUL BOGOR Babakan Bogor;RUMAH DIJUAL SENTUL CITY VIEW CANTIK;;;;
3;3;;;Rp 1.014.000.000;Cipinang Muara Jakarta Timur;DI JUAL RUMAH MURAH CIPINANG MUARA MEWAH & ELEGANT JAKARTA PUSAT;;;;
2;2;;;Rp 1.170.000.000;Cimuning Mustika Jaya Bekasi;Rumah Cantik 2 Lantai Harga All In Siap KPR di Permata Wisata;;;;
1;2;;;Rp 400.000.000;jln gunung kapurdesa mampir cileungsi Cileungsi Bogor;rumah komersil dp 0%;;;;
1;2;;;Rp 396.400.000;Jl. Raya Cibunar Cibunar Kec. Parung Panjang Kabupaten Bogor Jawa Barat 16360 Parung Panjang Bogor;Rumah Parung Panjang Cluster Tulip 1 & 2 Lantai dengan DP 0% dan Bebas Biaya KPR;;;;
2;3;;;Rp 840.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah 2 Lantai Siap Huni Dekat Serpong Tangsel Harga All In Nego Bisa KPR;;;;
1;3;;;Rp 780.000.000;Cilodong Depok;Rumah Asri Strategis di Griya Melati Mas Depok Harga All In Nego Siap KPR;;;;
3;4;;;Rp 3.000.000.000;Blok S2 No. 11 Komp. Bukit Cimanggu City - Bogor Bogor;Rumah Murah Bogor Bukit Cimanggu;;;;
2;1;;;Rp 2.450.000.000;Town Place Baros Cimahi;Ruko dijual Town Place Baros cocok untuk kantor siap huni;;;;
3;6;;;Rp 6.000.000.000;Jalan Sunter Garden blok B6 no. 17 Sunter Agung Jakarta Utara Sunter Jakarta Utara;Jual murah rumah siap huni Sunter Garden strategis bebas banjir;;;;
4;6;;;Rp 5.500.000.000;Cilandak Jakarta Selatan;Dijual Rumah 3 Lantai Dengan Private Pool Di Cilandak Jakarta Selatan;;;;
3;4;;;Rp 4.000.000.000;Gayamsari Semarang;Rumah nyaman;;;;
1;2;;;Rp 699.000.000;Permata Depok Regency Margonda Depok;Jual Rumah Minimalis Strategis Dekat Margonda Depok Harga All In Siap KPR;;;;
2;3;;;Rp 780.000.000;Laladon Residence Baru Dramaga Bogor;Rumah Minimalis Luas Bebas Banjir Dekat Dramaga Bogor Siap KPR Harga All In;;;;
1;2;;;Rp 680.000.000;Jatiasih Bekasi;Rumah Unit Pojokan Strategis di Batara Residence Bebas Banjir Harga All In KPR;;;;
3;4;;;Rp 2.500.000.000;BUKIT WAHID REGENCY SEMARANG Manyaran Semarang;RUMAH BUKIT WAHID MEWAH HARGA BAWAH PASAR CLUSTER PUSAT KOTA;;;;
2;3;;;Rp 1.500.000.000;Fortune Essence Graha Raya Alam Sutera Tangerang Selatan;Rumah Seken Strategis Bebas Banjir di Graha Raya Harga All In Nego Siap KPR;;;;
2;3;;;Rp 780.000.000;Bojonggede Bogor;Rumah 3 Lantai Strategis Dekat Stasiun KA Bojonggede Harga All In Bisa KPR;;;;
2;2;;;Rp 1.680.000.000;Bintaro Tangerang Selatan;Rumah Hook 2 Lantai Asri Siap KPR di Green Bintaro Residence Harga All In Nego;;;;
2;2;;;Rp 1.425.000.000;Alam Sutera Tangerang Selatan;Rumah Siap Huni 2 Lantai Strategis di Perumahan Modernland Harga All In Bisa KPR;;;;
2;3;;;Rp 1.081.000.000;Jatisampurna Bekasi;Rumah Cantik 2 Lantai Siap Huni Paling Murah di Jatisampurna;;;;
2;3;;;Rp 1.400.000.000;Sawangan Village Limo Depok;Rumah Hook Luas Idaman Siap KPR di Sawangan Village Harga All In Bisa Nego;;;;
2;3;;;Rp 780.000.000;Laladon Residence Bogor Barat - Kota Bogor;Rumah Siap Huni Bebas Banjir di Laladon Residence Harga All In Bisa KPR;;;;
3;4;;;Rp 2.600.000.000;Karang Tengah Tangerang;Rumah 2 Lantai Asri Siap Huni di Metro Permata Tangerang Harga All In Bisa KPR;;;;
3;3;;;Rp 1.860.000.000;Alam Sutera Tangerang Selatan;Rumah Strategis Bebas Banjir di Perumahan Banjar Wijaya Harga All In Siap KPR;;;;
2;3;;;Rp 1.380.000.000;Erfina Kencana Regency Cluster Downhill Cibinong Bogor;Rumah Luas 2 Lantai Siap KPR di Erfina Kencana Regency Cibinong Harga All In;;;;
2;3;;;Rp 1.380.000.000;Erfina Kencana Regency Cluster Downhill Sentul City Bogor;Rumah Strategis Siap Huni Dekat Sentul City Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 810.000.000;Jatiasih Bekasi;Rumah Murah Strategis di Cluster Pagar Hijau Jatiasih Harga All In Siap KPR;;;;
1;3;;;Rp 845.000.000;Jalan Sawo Pondok Petir Pamulang Tangerang Selatan;Rumah Seken Bebas Banjir Siap KPR Dekat Pamulang Harga All In Bisa Nego;;;;
2;2;;;Rp 455.000.000;Cilodong Depok;D'samara residence Depok Harga Murah;;;;
2;2;;;Rp 900.000.000;Rorotan Jakarta Utara;Cluster the ayona;;;;
2;3;;;Rp 1.078.000.000;Cinangka Sawangan Depok Sawangan Depok;Jual Cepat Rumah Strategis Siap Huni Siap KPR di Sawangan;;;;
1;2;;;Rp 690.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Strategis Harga All In Dekat BSD Tangsel Bebas Banjir Bisa KPR;;;;
2;3;;;Rp 1.140.000.000;Wartawangsa Residence Bojong Gede Bogor;Rumah Siap Huni Strategis Dekat Stasiun Bojong Gede Bogor Harga All In Bisa KPR;;;;
1;2;;;Rp 936.000.000;Sawangan Depok;Rumah Minimalis Strategis Dekat Sawangan Siap Huni Harga All In Nego Bisa KPR;;;;
2;5;;;Rp 1.500.000.000;Bojong Gede Bogor;Rumah Luas 3 Lantai Dekat Stasiun Bojong Gede Bebas Banjir Siap KPR Harga All In;;;;
1;3;;;Rp 460.000.000;Sentul City Bogor;Rumah Minimalis 2 Lantai Dekat Sentul City DP Ringan Harga All In Bisa KPR;;;;
2;3;;;Rp 1.020.000.000;Premier Savanna Vida Jatiasih Bekasi;Rumah Strategis Siap Huni Dekat Jatiasih Bekasi Harga All In Nego Bisa KPR;;;;
3;3;;;Rp 1.500.000.000;Bogor Raya Permai Bogor Barat - Kota Bogor;Rumah Luas Siap Huni di Bogor Raya Permai Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 950.000.000;Harapan Indah Bekasi;Rumah Bebas Banjir Dekat Harapan Indah Bekasi Siap Huni Harga All In Bisa KPR; murah sekali; jarang ada;;
1;2;;;Rp 1.010.000.000;Panongan Tangerang;Rumah Minimalis Modern Siap KPR Dekat Mall Ecoplaza Citra Raya Harga All In;;;;
2;3;;;Rp 825.000.000;Komplek Bukit Cimanggu City Bogor Kota 16166 Indonesia Bogor Barat - Kota Bogor;Jual Rumah Seken Terawat Dekat Bogor Barat Harga All In KPR Siap Nego;;;;
3;5;;;Rp 1.620.000.000;Serpong Garden Cisauk Tangerang;Jual Rumah Bebas Banjir Strategis Dekat Stasiun Cisauk Harga All In Siap KPR;;;;
1;2;;;Rp 580.000.000;Gunung Putri Bogor;Rumah Bebas Banjir di Metland Cileungsi DP Ringan Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 960.000.000;Cisauk Tangerang;Rumah 2 Lantai di Citra Prima Serpong Siap Huni Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.200.000.000;Jalan Mangga Alam Sutera Tangerang Selatan;Rumah Strategis Dekat Alam Sutera Harga All In Bisa Nego Siap KPR;;;;
2;4;;;Rp 1.440.000.000;Cikupa Tangerang;Rumah Asri Bebas Banjir di Citra Raya Bizhome Cikupa Harga All In;;;;
3;3;;;Rp 1.660.000.000;Juanda Green Residence Margonda Depok;Rumah Minimalis Asri 2 Lantai Dekat Gerbang Tol Margonda Harga All In Bisa KPR;;;;
2;3;;;Rp 960.000.000;Pamulang Tangerang Selatan;Rumah Seken Strategis Bebas Banjir Dekat Pamulang Tangsel Siap KPR Harga All In;;;;
2;4;;;Rp 1.800.000.000;Margonda Depok;Rumah Strategis Siap KPR Dekat Gerbang Tol Margonda Harga All In Bisa Nego;;;;
3;3;;;Rp 950.000.000;Jatiasih Bekasi;Rumah 2 Lantai Strategis Dekat Jatiasih Bekasi Harga All In Nego Siap KPR;;;;
1;2;;;Rp 960.000.000;Gading Serpong Tangerang;Rumah Siap Huni Dekat Gading Serpong Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 799.000.000;Cluster Puri Zalfari Jatiasih Bekasi;Rumah Minimalis Asri di Cluster Puri Zalfari Jatiasih Harga All In Bisa KPR;;;;
1;2;;;Rp 570.000.000;Cibubur Jakarta Timur;Rumah Bergaya Skandinavia Siap KPR di Limus Pratama Regency Harga All In Nego;;;;
2;4;;;Rp 1.440.000.000;Curug Tangerang;Rumah Luas Strategis Siap KPR di Citra Raya Harga All In Bisa Nego;;;;
3;3;;;Rp 1.320.000.000;Cinere Depok;Dijual Rumah Strategis di Bukit Griya Cinere Harga All In Nego Siap KPR;;;;
1;2;;;Rp 810.000.000;Metland Cileungsi Cibubur Jakarta Timur;Rumah Strategis Bebas Banjir Dekat Cibubur Harga All In Nego Siap KPR;;;;
2;3;;;Rp 1.300.000.000;Jl. Griya Bintaro Estate Bintaro Tangerang Selatan;Griya Bintaro Estate;;;;
1;2;;;Rp 430.000.000;Grand Depok City Cilodong Depok;Rumah Siap Huni 5 Menit ke GDC 10 Menit Stasiun Depok DP 0 Free Biaya;;;;
4;4;;;Rp 2.800.000.000;Regensi Melati Mas Serpong Utara Tangerang Selatan;Dijual Rumah Luas Strategis di Regensi Melati Mas Serpong Siap KPR;;;;
4;3;;;Rp 2.280.000.000;Pancoran Mas Depok;Rumah Luas Strategis Dekat Stasiun KA Depok Harga All In Nego Siap KPR;;;;
3;6;;;Rp 1.980.000.000;Komplek Budi Agung Cilebut Bogor;Jual Rumah 2 Lantai Siap Huni Dekat Stasiun KA Cilebut Harga All In Bisa KPR;;;;
2;2;;;Rp 950.000.000;Setu Tangerang Selatan;Rumah Asri 2 Lantai di Perumahan Lagoon Serpong Harga All In KPR Siap Nego;;;;
1;2;;;Rp 575.400.000;jl wates km 6 Gamping Sleman Gamping Sleman;Jual rumah Dekat kampus UMY Promo Terbatas sleman;;;;
1;2;;;Rp 450.000.000;Srimaya Residence Bantargebang Bekasi;Rumah Bebas Banjir Siap KPR di Srimaya Residence Bekasi Harga All In Bisa Nego;;;;
2;3;;;Rp 960.000.000;Perumahan Citra Prima Serpong 1 Bumi Serpong Damai Tangerang Selatan;Rumah Strategis Siap KPR di Perum Citra Prima Serpong Harga All In Bisa Nego;;;;
2;2;;;Rp 630.000.000;Graha Raflesia Citra Raya Cikupa Tangerang;Rumah Strategis di Graha Raflesia Citra Raya Siap Huni Harga All In Bisa KPR;;;;
2;6;;;Rp 1.320.000.000;Alam Sutera Tangerang Selatan;Rumah Strategis di Komplek Sekretariat Negara Tangerang Harga All In Bisa KPR;;;;
1;3;;;Rp 870.000.000;Jalan Sawo Bojongsari Depok;Jual Nego Rumah Luas Siap Huni di Bojongsari Depok Harga All In Bisa KPR;;;;
1;2;;;Rp 770.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Strategis Dekat BSD Tangsel Harga All In Bisa Nego Siap KPR;;;;
1;2;;;Rp 450.000.000;Cilebut Bogor;Rumah Siap Huni Bisa KPR Dekat Stasiun KA Cilebut Harga All In Ready Furnished;;;;
1;2;;;Rp 367.000.000;Parung Panjang Bogor;Hunian Minimalis Exclusive Dutch Style 300 Jutaan Dekat ke BSD dan AEON;;;;
1;2;;;Rp 580.000.000;Cileungsi Bogor;Dijual Rumah Minimalis di Metland Cileungsi Harga All In Siap KPR;;;;
2;3;;;Rp 1.580.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Strategis 2 Lantai Siap Huni Harga All In Bisa KPR Dekat BSD;;;;
4;4;;;Rp 2.500.000.000;Pancoran Jakarta Selatan;Rumah Luas Siap Huni Dekat Pancoran Jakarta Selatan Bebas Banjir Bisa KPR;;;;
2;3;;;Rp 780.000.000;Perumahan Cibinong Griya Asri Cibinong Bogor;Rumah Bebas Banjir Siap Huni Dekat Stasiun Cibinong Bogor Harga All In Bisa KPR;;;;
1;2;;;Rp 500.000.000;Pamulang Tangerang Selatan;Rumah Bebas Banjir di Permata Hill Residence Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 450.000.000;Cibinong Bogor;Rumah Minimalis Siap Huni Dekat Stasiun Harga All In Bisa KPR;;;;
2;3;;;Rp 2.040.000.000;Cimanggis Depok;Rumah 2 Lantai Siap Huni Bisa KPR Dekat Gerbang Tol Cimanggis Harga All In;;;;
2;2;;;Rp 900.000.000;Margo Residence 1 Margonda Depok;Rumah Strategis Siap Huni di Margo Residence 1 Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.080.000.000;Jalan Pondok Cabe Indah Pamulang Tangerang Selatan;Rumah Minimalis Strategis Siap KPR di Pondok Cabe Indah Tangsel Harga All In;;;;
2;3;;;Rp 1.650.000.000;Perumahan Buana Gardenia Pinang Tangerang;Jual Rumah Luas Idaman Siap Huni di Perum Buana Gardenia Harga All In Bisa KPR;;;;
2;3;;;Rp 1.360.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Strategis Idaman Bebas Banjir Dekat BSD Harga All In Siap KPR;;;;
2;3;;;Rp 1.440.000.000;Cluster Green Valley Sentul City Bogor;Rumah Minimalis Asri Bebas Banjir di Sentul City Harga All In Siap KPR;;;;
1;2;;;Rp 500.000.000;Bojongsari Depok;Rumah Minimalis Seken Siap Huni Bisa KPR di Permata Hills Residence Harga All In;;;;
1;2;;;Rp 530.000.000;Bojongsari Depok;Rumah Strategis Dekat The Park Sawangan Harga All In Nego DP Ringan Siap KPR;;;;
1;3;;;Rp 960.000.000;Duta Bintaro cluster Kintamani Alam Sutera Tangerang Selatan;Rumah Strategis Siap KPR Dekat Alam Sutera Harga All In Bebas Banjir;;;;
3;5;;;Rp 1.620.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Minimalis Modern Siap Huni di Serpong Garden Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 1.200.000.000;Serpong Tangerang Selatan;Jual Rumah Seken Bebas Banjir Dekat Serpong Tangsel Harga Nego Siap KPR;;;;
3;4;;;Rp 1.550.000.000;Ciparigi Bogor Utara Kota Bogor Tanah Sareal Bogor;Rumah Strategis 2 Lantai Bebas Banjir Di Kota Bogor Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 990.000.000;Serpong Tangerang Selatan;Rumah Minimalis Modern Siap KPR di Villa Gardenia Serpong Harga All In;;;;
2;2;;;Rp 506.000.000;Cilangkap Tapos Depok;Rumah 2 Lantai 3 Menit ke Jln Raya Jakarta Bogor Depok DP 0 Free Biaya;;;;
2;3;;;Rp 1.440.000.000;Pesanggrahan Jakarta Selatan;Rumah Minimalis Strategis Harga All In Dekat RSUD Pesanggrahan Siap KPR;;;;
2;4;;;Rp 1.440.000.000;Gading Serpong Tangerang;Rumah Strategis Siap Huni Dekat Gading Serpong Harga All In Bisa KPR;;;;
3;4;;;Rp 2.400.000.000;Karawaci Tangerang;Jual Rumah Idaman Dekat Gerbang Tol Karawaci Tangerang Harga All In Siap KPR;;;;
3;6;;;Rp 1.980.000.000;Komplek Budi Agung Tanah Sareal Bogor;Rumah Luas Strategis Siap KPR di Komplek Budi Agung Bogor Harga All In;;;;
1;2;;;Rp 450.000.000;Bojong Gede Bogor;Jual Rumah Strategis Harga All In Bisa Nego di Palas Asri Town House Siap KPR;;;;
5;5;;;Rp 6.700.000.000;kavling deplu ciledug jl duta II Ciledug Tangerang;Rumah di lokasi yang tenang dengan halaman yang luas;;;;
4;3;;;Rp 780.000.000;Cibinong Bogor;Rumah Siap Huni di Perum Hankam Dekat Stasiun KA Cibinong Harga All In Bisa KPR;;;;
1;2;;;Rp 655.000.000;Bojongsari Depok;Rumah townhouse bojongsari depok;;;;
2;3;;;Rp 840.000.000;Griya Suradita Indah Cisauk Tangerang;Rumah Minimalis Strategis di Perum Griya Suradita Indah Harga All In Siap KPR;;;;
1;2;;;Rp 710.000.000;Sawangan Depok;Rumah Siap Huni Strategis Dekat Terminal Sawangan Depok Harga All In Bisa KPR;;;;
3;4;;;Rp 2.700.000.000;Bintaro Tangerang Selatan;Rumah Idaman 2 Lantai Siap KPR di Bintaro Tangsel Harga Nego Bebas Banjir; PECATU;;;
4;4;;;Rp 2.800.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Minimalis Modern Siap Huni Dekat BSD City Bebas Banjir Bisa KPR;;;;
3;3;;;Rp 2.100.000.000;Jl. Kelapa Dua Wetan Jakarta Timur Ciracas Jakarta Timur;Rumah di Grand Maritza Ciracas Jakarta Timur;;;;
1;2;;;Rp 660.000.000;Pancoran Mas Depok;Rumah Minimalis Strategis di Pancoran Mas Depok Siap Huni Harga All In Bisa KPR;;;;
2;6;;;Rp 1.320.000.000;Karawaci Tangerang;Dijual Rumah 2 Lantai Siap Huni Dekat Tol Karawaci Harga All In Nego Bisa KPR;;;;
