channel name;channel url;subsscribers;language
@TakutoSinka;https://www.youtube.com/@TakutoSinka;26,6K ;japanese
@Lump_yukkuri_retrogame;https://www.youtube.com/@Lump_yukkuri_retrogame;26,5K ;japanese
@hikaru8594;https://www.youtube.com/@hikaru8594;26,2K ;japanese
@cabbage_games;https://www.youtube.com/@cabbage_games;250K ;japanese
@bal;https://www.youtube.com/@bal;25,6K ;japanese
@V_KT_SAN;https://www.youtube.com/@V_KT_SAN;25,4K ;japanese
@robotnickgame;https://www.youtube.com/@robotnickgame;25,3K ;japanese
@gamespotversus;https://www.youtube.com/@gamespotversus;24,9K ;japanese
@akatsuki_sanran;https://www.youtube.com/@akatsuki_sanran;24,9K ;japanese
@LiveGameHeaven;https://www.youtube.com/@LiveGameHeaven;24,5K ;japanese
@stmatomato;https://www.youtube.com/@stmatomato;23,9K ;japanese
@thegamegallery;https://www.youtube.com/@thegamegallery;23,5K ;japanese
@miichia;https://www.youtube.com/@miichia;23,2K ;japanese
@RebebeGaming;https://www.youtube.com/@RebebeGaming;23,1K ;japanese
@Moyashi1128;https://www.youtube.com/@Moyashi1128;22K ;japanese
@xrainrainx;https://www.youtube.com/@xrainrainx;229K ;japanese
@maguro29game;https://www.youtube.com/@maguro29game;225K ;japanese
@user-et6gt3il6f;https://www.youtube.com/@user-et6gt3il6f;22,8K ;japanese
@silesaaa;https://www.youtube.com/@silesaaa;22,8K ;japanese
@user-wk9jf7yu3s;https://www.youtube.com/@user-wk9jf7yu3s;22,7K ;japanese
@user-vu6xh8fz3f;https://www.youtube.com/@user-vu6xh8fz3f;22,6K ;japanese
@user-qu4zr2it1c;https://www.youtube.com/@user-qu4zr2it1c;22,4K ;japanese
@gamediver;https://www.youtube.com/@gamediver;22,2K ;japanese
@Volta-Gaming;https://www.youtube.com/@Volta-Gaming;21K ;japanese
@game-newton9875;https://www.youtube.com/@game-newton9875;21K ;japanese
@LONELy_HITORi;https://www.youtube.com/@LONELy_HITORi;218K ;japanese
@user-jl6om2il7x;https://www.youtube.com/@user-jl6om2il7x;214K ;japanese
@Nagi7171;https://www.youtube.com/@Nagi7171;210K ;japanese
@user-rs9pi9it7c;https://www.youtube.com/@user-rs9pi9it7c;21,9K ;japanese
@user-vh6hp4ul9f;https://www.youtube.com/@user-vh6hp4ul9f;21,9K ;japanese
@user-ww1jj5fg1n;https://www.youtube.com/@user-ww1jj5fg1n;21,3K ;japanese
@tahatanogame;https://www.youtube.com/@tahatanogame;21,1K ;japanese
